,Accuracy,Clase,Precision,Recall,F1-Score,Cantidad
0,0.6267555555555555,Avión,0.5567558299039781,0.719636524822695,0.6278035576179428,4512
1,0.6267555555555555,Coche,0.7275336718922499,0.7341800356506238,0.7308417433736276,4488
2,0.6267555555555555,Pájaro,0.5925809493869852,0.4218889883616831,0.49287488560596154,4468
3,0.6267555555555555,Gato,0.48916215089620674,0.5182159417089865,0.5032700761230835,4529
4,0.6267555555555555,Ciervo,0.6573856975381008,0.4952528151909914,0.5649162573983125,4529
5,0.6267555555555555,Perro,0.5664280031821798,0.4761480160499331,0.5173791934116507,4486
6,0.6267555555555555,Rana,0.6514297641410979,0.6946361006009348,0.6723395088323998,4493
7,0.6267555555555555,Caballo,0.6613553852359823,0.7286666666666667,0.6933812645379572,4500
8,0.6267555555555555,Barco,0.7321388577827548,0.7270907473309609,0.7296060707510322,4496
9,0.6267555555555555,Camión,0.6425992779783394,0.7517226050233385,0.6928908010653555,4499
